Date,Time,Open,High,Low,Close,Volume
2024.12.30,22:00,2607.07,2607.25,2606.50,2606.62,787
2024.12.30,22:05,2606.60,2607.58,2606.34,2607.56,678
2024.12.30,22:10,2607.63,2608.06,2607.28,2607.49,695
2024.12.30,22:15,2607.51,2609.39,2607.28,2609.06,684
2024.12.30,22:20,2609.05,2609.05,2608.18,2608.61,690
2024.12.30,22:25,2608.61,2609.15,2607.69,2607.96,687
2024.12.30,22:30,2607.99,2608.44,2607.28,2607.76,678
2024.12.30,22:35,2607.77,2608.33,2607.61,2608.33,677
2024.12.30,22:40,2608.33,2609.03,2608.19,2608.54,678
2024.12.30,22:45,2608.55,2608.92,2608.23,2608.44,670
2024.12.30,22:50,2608.42,2609.25,2608.26,2608.75,866
2024.12.30,22:55,2608.75,2608.85,2607.32,2607.60,1071
2024.12.30,23:00,2607.58,2607.89,2607.38,2607.58,208
2024.12.30,23:05,2607.56,2607.79,2607.31,2607.42,157
2024.12.30,23:10,2607.48,2607.61,2606.89,2607.00,198
2024.12.30,23:15,2607.04,2607.27,2606.62,2607.22,155
2024.12.30,23:20,2607.27,2607.74,2606.92,2607.57,165
2024.12.30,23:25,2607.65,2607.84,2607.50,2607.67,113
2024.12.30,23:30,2607.68,2607.84,2607.13,2607.14,117
2024.12.30,23:35,2607.13,2607.13,2606.73,2606.94,76
2024.12.30,23:40,2606.68,2607.28,2606.41,2607.06,92
2024.12.30,23:45,2607.05,2607.18,2605.82,2605.82,150
2024.12.30,23:50,2605.81,2606.13,2605.70,2606.06,101
2024.12.30,23:55,2606.07,2606.43,2605.53,2605.72,124
2024.12.31,01:00,2606.24,2606.61,2605.68,2605.73,214
2024.12.31,01:05,2605.70,2605.70,2604.44,2604.78,127
2024.12.31,01:10,2604.72,2604.86,2604.05,2604.13,171
2024.12.31,01:15,2604.15,2604.37,2603.75,2604.17,163
2024.12.31,01:20,2604.05,2604.58,2604.05,2604.48,90
2024.12.31,01:25,2604.41,2604.81,2604.08,2604.51,67
2024.12.31,01:30,2604.37,2605.80,2604.37,2605.42,116
2024.12.31,01:35,2605.55,2606.32,2605.55,2606.07,92
2024.12.31,01:40,2606.18,2606.20,2605.69,2606.10,91
2024.12.31,01:45,2606.13,2606.67,2606.12,2606.48,89
2024.12.31,01:50,2606.47,2607.24,2606.38,2606.74,103
2024.12.31,01:55,2606.83,2607.08,2606.46,2606.57,145
2024.12.31,02:00,2606.47,2606.73,2606.09,2606.22,186
2024.12.31,02:05,2606.21,2606.21,2605.24,2605.28,179
2024.12.31,02:10,2605.19,2605.45,2605.00,2605.13,141
2024.12.31,02:15,2605.15,2605.95,2604.91,2605.79,174
2024.12.31,02:20,2605.81,2606.54,2605.81,2606.54,113
2024.12.31,02:25,2606.59,2607.05,2606.59,2606.86,129
2024.12.31,02:30,2606.87,2606.87,2606.44,2606.53,192
2024.12.31,02:35,2606.57,2607.29,2606.56,2606.75,196
2024.12.31,02:40,2606.76,2607.16,2606.56,2606.74,300
2024.12.31,02:45,2606.65,2607.70,2606.60,2607.60,285
2024.12.31,02:50,2607.63,2608.13,2607.53,2608.07,274
2024.12.31,02:55,2608.10,2608.56,2607.39,2607.61,354
2024.12.31,03:00,2607.59,2607.98,2606.56,2606.68,871
2024.12.31,03:05,2606.69,2607.77,2606.56,2606.83,819
2024.12.31,03:10,2606.77,2607.61,2606.64,2607.57,541
2024.12.31,03:15,2607.54,2608.49,2607.54,2608.29,453
2024.12.31,03:20,2608.29,2609.19,2608.29,2608.78,440
2024.12.31,03:25,2608.79,2610.04,2608.61,2610.04,478
2024.12.31,03:30,2610.09,2611.46,2610.07,2610.94,698
2024.12.31,03:35,2610.94,2611.51,2608.87,2609.82,1009
2024.12.31,03:40,2609.80,2610.11,2608.91,2609.41,882
2024.12.31,03:45,2609.37,2609.98,2608.33,2609.90,983
2024.12.31,03:50,2609.94,2610.04,2608.97,2609.10,655
2024.12.31,03:55,2609.08,2609.10,2608.07,2608.82,1169
2024.12.31,04:00,2608.80,2609.15,2608.41,2608.72,623
2024.12.31,04:05,2608.73,2609.50,2608.22,2608.97,742
2024.12.31,04:10,2608.95,2609.01,2607.94,2608.18,645
2024.12.31,04:15,2608.14,2608.94,2608.03,2608.94,502
2024.12.31,04:20,2608.94,2609.20,2608.59,2608.74,381
2024.12.31,04:25,2608.76,2609.42,2608.73,2609.03,303
2024.12.31,04:30,2609.07,2609.29,2608.82,2608.94,514
2024.12.31,04:35,2608.90,2609.21,2608.17,2608.23,478
2024.12.31,04:40,2608.25,2608.88,2608.12,2608.33,371
2024.12.31,04:45,2608.31,2608.37,2607.30,2607.67,450
2024.12.31,04:50,2607.62,2608.27,2606.80,2607.10,463
2024.12.31,04:55,2607.08,2607.43,2606.68,2606.98,634
2024.12.31,05:00,2606.93,2607.21,2606.01,2606.31,698
2024.12.31,05:05,2606.29,2606.43,2605.32,2605.79,756
2024.12.31,05:10,2605.69,2607.24,2605.59,2606.92,803
2024.12.31,05:15,2606.95,2607.16,2606.70,2606.74,589
2024.12.31,05:20,2606.76,2607.07,2606.33,2606.74,550
2024.12.31,05:25,2606.75,2607.46,2606.62,2607.00,685
2024.12.31,05:30,2607.01,2607.34,2606.31,2606.38,375
2024.12.31,05:35,2606.39,2606.53,2605.81,2606.14,335
2024.12.31,05:40,2606.15,2606.46,2605.29,2605.52,389
2024.12.31,05:45,2605.54,2605.55,2603.98,2604.74,624
2024.12.31,05:50,2604.76,2604.76,2603.36,2604.51,601
2024.12.31,05:55,2604.53,2604.99,2604.37,2604.49,495
2024.12.31,06:00,2604.49,2604.62,2604.13,2604.41,422
2024.12.31,06:05,2604.40,2605.31,2604.39,2604.99,505
2024.12.31,06:10,2604.99,2605.37,2604.97,2605.08,487
2024.12.31,06:15,2605.10,2605.36,2604.96,2605.12,488
2024.12.31,06:20,2605.14,2605.44,2604.91,2605.13,389
2024.12.31,06:25,2605.11,2605.42,2604.93,2605.16,458
2024.12.31,06:30,2605.10,2605.34,2604.82,2605.24,266
2024.12.31,06:35,2605.25,2605.83,2605.22,2605.57,330
2024.12.31,06:40,2605.54,2606.86,2605.53,2606.57,400
2024.12.31,06:45,2606.60,2606.79,2606.02,2606.74,436
2024.12.31,06:50,2606.78,2607.00,2606.62,2606.68,299
2024.12.31,06:55,2606.70,2606.95,2606.38,2606.42,418
2024.12.31,07:00,2606.44,2606.89,2606.21,2606.52,240
2024.12.31,07:05,2606.50,2606.98,2606.32,2606.75,282
